Artist,Song Name,Album Release Year,URL
Nicki Minaj,The Night Is Still Young,2015,https://open.spotify.com/track/75u9uswC5UMdtv4SQ3xSYf
Bruno Mars,Treasure,2012,https://open.spotify.com/track/4G2Hbfwvn3oH7LxxPXjjGn
Taylor Swift,We Are Never Ever Getting Back Together,2012,https://open.spotify.com/track/0VwNdo84DaVYLIkbVO86ND
"Timbaland, Keri Hilson, D.O.E.",The Way I Are,2007,https://open.spotify.com/track/5RM4iGrNOyeKLTcMv2FPc9
Avril Lavigne,Sk8er Boi,2002,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU
"Jessie J, B.o.B",Price Tag,2011,https://open.spotify.com/track/2fTsFCKRFQ5M0igJgabnLA
Charli xcx,Boom Clap,2014,https://open.spotify.com/track/094RugjgLW6CdPLOJctBZ3
Michael Jackson,P.Y.T. (Pretty Young Thing),1982,https://open.spotify.com/track/1CgmY8fVN7kstVDZmsdM5k
Lionel Richie,"Say You, Say Me",1985,https://open.spotify.com/track/17CPezzLWzvGfpZW6X8XT0
Big Mountain,"Baby, I Love Your Way",1994,https://open.spotify.com/track/2le9fblYnfoLr9dkZIsJUa
Alicia Keys,If I Ain't Got You,2003,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ
Genesis,Invisible Touch - 2007 Remaster,1986,https://open.spotify.com/track/0xpBr84T3FTm9j4D1MdPtk
The Beach Boys,California Dreamin' - Remastered 2007,1986,https://open.spotify.com/track/4MHzXgBy7hexDe2Bto11hP
Carpenters,Top Of The World,1972,https://open.spotify.com/track/1Ehdm1PDlKrdfyBsjwEvd1
ABBA,Angeleyes,1979,https://open.spotify.com/track/7rWgGyRK7RAqAAXy4bLft9
The Shadows,Foot Tapper,1963,https://open.spotify.com/track/5n6rR4BsS7MImGKFdu1rIj
Chuck Berry,Johnny B. Goode,1958,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2
Dion,Runaround Sue,1961,https://open.spotify.com/track/1DndHckdH9m5rp6gYP086b
"Dolly Parton, Kenny Rogers",Islands in the Stream,1983,https://open.spotify.com/track/4mnOVRRXsaqg9Nb041xR8u
Sam Cooke,Bring It On Home to Me,1962,https://open.spotify.com/track/5EoYc5wvRYOtkudLfrjsL1
Ricky Nelson,Travelin' Man - Remastered,1961,https://open.spotify.com/track/1sM0yZDxUhPQhkDh2CLd6l
Bobby Darin,Beyond the Sea,1959,https://open.spotify.com/track/3KzgdYUlqV6TOG7JCmx2Wg
Sam & Dave,"Hold On, I'm Comin'",1966,https://open.spotify.com/track/6PgVDY8GTkxF3GmhVGPzoB
Billy Joel,We Didn't Start the Fire,1989,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI
Van Morrison,Brown Eyed Girl,1967,https://open.spotify.com/track/4CNL4GBNTdVIU5Nk6hB4LC
Aretha Franklin,Think,1968,https://open.spotify.com/track/4yQw7FR9lcvL6RHtegbJBh
Jay & The Americans,Come A Little Bit Closer,1964,https://open.spotify.com/track/0cLZ9ecuhocv99BICMb59O
Neil Young,Heart of Gold,1972,https://open.spotify.com/track/26QKxvjlCo2fSd3T4c8Zpb
Fats Domino,Ain't That A Shame,1955,https://open.spotify.com/track/4ZfQwNx3FlCN07cnUvekh3
Ray Charles,Hit the Road Jack,1961,https://open.spotify.com/track/5dUMh0ugelpKfoFp3qChuK
Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,1984,https://open.spotify.com/track/63CHa6rmamv9OsehkRD8oz
